,ds,y,LR_pred,LR_pred_with_noise
0,0,77.65,77.47255351,77.46897141
1,24,77.56,77.47172711,77.44348353
2,48,77.6,77.47090071,77.47268469
3,72,77.49,77.47007431,77.46147959
4,96,77.44,77.46924792,77.4602882
5,120,77.49,77.46842152,77.49397682
6,144,77.58,77.46759512,77.46523343
7,168,77.59,77.46676872,77.46256247
8,192,77.48,77.46594233,77.47662276
9,216,77.4,77.46511593,77.43775865
10,240,77.55,77.46428953,77.48227886
11,264,77.36,77.46346313,77.47409247
12,288,77.49,77.46263674,77.45864856
13,312,77.48,77.46181034,77.4601582
14,336,77.59,77.46098394,77.45011905
15,360,77.46,77.46015754,77.46685047
16,384,77.56,77.45933115,77.39307976
17,408,77.3,77.45850475,77.457791
18,432,77.59,77.45767835,77.448811
19,456,77.47,77.45685196,77.46942724
20,480,77.47,77.45602556,77.47456227
21,504,77.44,77.45519916,77.45614413
22,528,77.47,77.45437276,77.43306984
23,552,77.56,77.45354637,77.49017132
24,576,77.54,77.45271997,77.47948404
25,600,77.45,77.45189357,77.47150938
26,624,77.51,77.45106717,77.45243825
27,648,77.51,77.45024078,77.43582263
28,672,77.46,77.44941438,77.4106999
29,696,77.55,77.44858798,77.45213222
30,720,77.63,77.44776158,77.44945625
31,744,77.51,77.44693519,77.43986374
32,768,77.57,77.44610879,77.46945461
33,792,77.52,77.44528239,77.43095108
34,816,77.58,77.444456,77.44131689
35,840,77.51,77.4436296,77.46249195
36,864,77.41,77.4428032,77.46711113
37,888,77.6,77.4419768,77.43237966
38,912,77.55,77.44115041,77.44241332
39,936,77.53,77.44032401,77.41923979
40,960,77.76,77.43949761,77.47295785
41,984,77.67,77.43867121,77.4129759
42,1008,77.7,77.43784482,77.41986976
43,1032,77.64,77.43701842,77.44238205
44,1056,77.49,77.43619202,77.44119696
45,1080,77.58,77.43536562,77.41222846
46,1104,77.59,77.43453923,77.41502057
47,1128,77.58,77.43371283,77.41662941
48,1152,77.64,77.43288643,77.41864529
49,1176,77.56,77.43206003,77.46756414
50,1200,77.61,77.43123364,77.43342632
51,1224,77.5,77.43040724,77.42841053
52,1248,77.45,77.42958084,77.39746264
53,1272,77.3,77.42875445,77.42006329
54,1296,77.42,77.42792805,77.44487711
55,1320,77.62,77.42710165,77.4544949
56,1344,77.45,77.42627525,77.39778005
57,1368,77.61,77.42544886,77.4005998
58,1392,77.54,77.42462246,77.44766275
59,1416,77.5,77.42379606,77.43542193
60,1440,77.46,77.42296966,77.43394386
